image,label,stage
images\000105.png,labels\000105.txt,train
images\000106.png,labels\000106.txt,train
images\000107.png,labels\000107.txt,train
images\000108.png,labels\000108.txt,train
images\000109.png,labels\000109.txt,train
images\000110.png,labels\000110.txt,train
images\000111.png,labels\000111.txt,train
images\000112.png,labels\000112.txt,train
images\000113.png,labels\000113.txt,train
images\000114.png,labels\000114.txt,val
images\000115.png,labels\000115.txt,val
images\000116.png,labels\000116.txt,train
images\000117.png,labels\000117.txt,train
images\000118.png,labels\000118.txt,train
images\000119.png,labels\000119.txt,train
images\000120.png,labels\000120.txt,train
images\000121.png,labels\000121.txt,train
images\000122.png,labels\000122.txt,val
images\000123.png,labels\000123.txt,train
images\000124.png,labels\000124.txt,train
images\000125.png,labels\000125.txt,val
images\000126.png,labels\000126.txt,train
images\000127.png,labels\000127.txt,train
images\000128.png,labels\000128.txt,train
images\000129.png,labels\000129.txt,train
images\000130.png,labels\000130.txt,train
images\000131.png,labels\000131.txt,train
images\000132.png,labels\000132.txt,train
images\000133.png,labels\000133.txt,val
images\000134.png,labels\000134.txt,train
images\000135.png,labels\000135.txt,train
images\000136.png,labels\000136.txt,train
images\000137.png,labels\000137.txt,train
images\000138.png,labels\000138.txt,val
images\000139.png,labels\000139.txt,train
images\000140.png,labels\000140.txt,val
images\000141.png,labels\000141.txt,train
images\000142.png,labels\000142.txt,train
images\000143.png,labels\000143.txt,val
images\000144.png,labels\000144.txt,train
images\000145.png,labels\000145.txt,train
images\000146.png,labels\000146.txt,train
images\000147.png,labels\000147.txt,train
images\000148.png,labels\000148.txt,train
images\000149.png,labels\000149.txt,val
images\000150.png,labels\000150.txt,train
images\000151.png,labels\000151.txt,train
images\000152.png,labels\000152.txt,train
images\000153.png,labels\000153.txt,train
images\000154.png,labels\000154.txt,train
images\000155.png,labels\000155.txt,train
images\000156.png,labels\000156.txt,train
images\000157.png,labels\000157.txt,train
images\000158.png,labels\000158.txt,train
images\000159.png,labels\000159.txt,train
images\000160.png,labels\000160.txt,train
images\000161.png,labels\000161.txt,train
images\000162.png,labels\000162.txt,train
images\000163.png,labels\000163.txt,train
images\000164.png,labels\000164.txt,val
images\000165.png,labels\000165.txt,train
images\000166.png,labels\000166.txt,train
images\000167.png,labels\000167.txt,train
images\000168.png,labels\000168.txt,val
images\000169.png,labels\000169.txt,val
images\000170.png,labels\000170.txt,train
images\000171.png,labels\000171.txt,val
images\000172.png,labels\000172.txt,val
images\000173.png,labels\000173.txt,train
images\000174.png,labels\000174.txt,train
images\000175.png,labels\000175.txt,train
images\000176.png,labels\000176.txt,val
images\000177.png,labels\000177.txt,train
images\000178.png,labels\000178.txt,val
images\000179.png,labels\000179.txt,val
images\000180.png,labels\000180.txt,train
images\000181.png,labels\000181.txt,train
images\000182.png,labels\000182.txt,train
images\000183.png,labels\000183.txt,train
images\000184.png,labels\000184.txt,train
images\000185.png,labels\000185.txt,train
images\000186.png,labels\000186.txt,train
images\000187.png,labels\000187.txt,train
images\000188.png,labels\000188.txt,train
images\000189.png,labels\000189.txt,train
images\000190.png,labels\000190.txt,train
images\000191.png,labels\000191.txt,train
images\000192.png,labels\000192.txt,train
images\000193.png,labels\000193.txt,train
images\000194.png,labels\000194.txt,train
images\000195.png,labels\000195.txt,train
images\000196.png,labels\000196.txt,train
images\000197.png,labels\000197.txt,train
images\000198.png,labels\000198.txt,train
images\000199.png,labels\000199.txt,val
images\000200.png,labels\000200.txt,train
images\000201.png,labels\000201.txt,train
images\000202.png,labels\000202.txt,val
images\000203.png,labels\000203.txt,val
images\000204.png,labels\000204.txt,train
images\000205.png,labels\000205.txt,train
images\000206.png,labels\000206.txt,val
images\000207.png,labels\000207.txt,train
images\000208.png,labels\000208.txt,train
images\000209.png,labels\000209.txt,val
images\000210.png,labels\000210.txt,train
images\000211.png,labels\000211.txt,val
images\000212.png,labels\000212.txt,train
images\000213.png,labels\000213.txt,val
images\000214.png,labels\000214.txt,train
images\000215.png,labels\000215.txt,train
images\000216.png,labels\000216.txt,val
images\000217.png,labels\000217.txt,train
images\000218.png,labels\000218.txt,train
images\000219.png,labels\000219.txt,train
images\000220.png,labels\000220.txt,train
images\000221.png,labels\000221.txt,train
images\000222.png,labels\000222.txt,train
images\000223.png,labels\000223.txt,train
images\000224.png,labels\000224.txt,val
images\000225.png,labels\000225.txt,train
images\000226.png,labels\000226.txt,train
images\000227.png,labels\000227.txt,val
images\000228.png,labels\000228.txt,train
images\000229.png,labels\000229.txt,train
images\000230.png,labels\000230.txt,train
images\000231.png,labels\000231.txt,train
images\000232.png,labels\000232.txt,train
images\000233.png,labels\000233.txt,train
images\000234.png,labels\000234.txt,train
images\000235.png,labels\000235.txt,val
images\000236.png,labels\000236.txt,train
images\000237.png,labels\000237.txt,train
images\000238.png,labels\000238.txt,train
images\000239.png,labels\000239.txt,train
images\000240.png,labels\000240.txt,train
images\000241.png,labels\000241.txt,train
images\000242.png,labels\000242.txt,train
images\000243.png,labels\000243.txt,train
images\000244.png,labels\000244.txt,train
images\000245.png,labels\000245.txt,val
images\000246.png,labels\000246.txt,val
images\000247.png,labels\000247.txt,val
images\000248.png,labels\000248.txt,train
images\000249.png,labels\000249.txt,val
images\000250.png,labels\000250.txt,train
images\000251.png,labels\000251.txt,train
images\000252.png,labels\000252.txt,train
images\000253.png,labels\000253.txt,train
images\000254.png,labels\000254.txt,train
images\000255.png,labels\000255.txt,val
images\000256.png,labels\000256.txt,train
images\000257.png,labels\000257.txt,train
images\000258.png,labels\000258.txt,train
images\000259.png,labels\000259.txt,train
images\000260.png,labels\000260.txt,train
images\000261.png,labels\000261.txt,train
images\000262.png,labels\000262.txt,train
images\000263.png,labels\000263.txt,train
images\000264.png,labels\000264.txt,train
images\000265.png,labels\000265.txt,train
images\000266.png,labels\000266.txt,train
images\000267.png,labels\000267.txt,train
images\000268.png,labels\000268.txt,train
images\000269.png,labels\000269.txt,train
images\000270.png,labels\000270.txt,train
images\000271.png,labels\000271.txt,train
images\000272.png,labels\000272.txt,val
images\000273.png,labels\000273.txt,train
images\000274.png,labels\000274.txt,train
images\000275.png,labels\000275.txt,train
images\000276.png,labels\000276.txt,val
images\000277.png,labels\000277.txt,train
images\000278.png,labels\000278.txt,train
images\000279.png,labels\000279.txt,train
images\000280.png,labels\000280.txt,train
images\000281.png,labels\000281.txt,train
images\000282.png,labels\000282.txt,train
images\000283.png,labels\000283.txt,train
images\000284.png,labels\000284.txt,train
images\000285.png,labels\000285.txt,train
images\000286.png,labels\000286.txt,val
images\000287.png,labels\000287.txt,train
images\000288.png,labels\000288.txt,train
images\000289.png,labels\000289.txt,train
images\000290.png,labels\000290.txt,val
images\000291.png,labels\000291.txt,train
images\000292.png,labels\000292.txt,val
images\000293.png,labels\000293.txt,train
images\000294.png,labels\000294.txt,train
images\000295.png,labels\000295.txt,train
images\000296.png,labels\000296.txt,val
images\000297.png,labels\000297.txt,train
images\000298.png,labels\000298.txt,train
images\000299.png,labels\000299.txt,train
images\000300.png,labels\000300.txt,train
images\000301.png,labels\000301.txt,val
images\000302.png,labels\000302.txt,train
images\000303.png,labels\000303.txt,train
images\000304.png,labels\000304.txt,train
images\000305.png,labels\000305.txt,val
images\000306.png,labels\000306.txt,train
images\000307.png,labels\000307.txt,train
images\000308.png,labels\000308.txt,train
images\000309.png,labels\000309.txt,train
images\000310.png,labels\000310.txt,train
images\000311.png,labels\000311.txt,train
images\000312.png,labels\000312.txt,val
images\000313.png,labels\000313.txt,train
images\000314.png,labels\000314.txt,train
images\000315.png,labels\000315.txt,train
images\000316.png,labels\000316.txt,train
images\000317.png,labels\000317.txt,train
images\000318.png,labels\000318.txt,train
images\000319.png,labels\000319.txt,train
images\000320.png,labels\000320.txt,val
images\000321.png,labels\000321.txt,train
images\000322.png,labels\000322.txt,train
images\000323.png,labels\000323.txt,val
images\000324.png,labels\000324.txt,train
images\000325.png,labels\000325.txt,train
images\000326.png,labels\000326.txt,train
images\000327.png,labels\000327.txt,train
images\000328.png,labels\000328.txt,train
images\000329.png,labels\000329.txt,train
images\000330.png,labels\000330.txt,train
images\000331.png,labels\000331.txt,train
images\000332.png,labels\000332.txt,train
images\000333.png,labels\000333.txt,val
images\000334.png,labels\000334.txt,train
images\000335.png,labels\000335.txt,train
images\000336.png,labels\000336.txt,val
images\000337.png,labels\000337.txt,train
images\000338.png,labels\000338.txt,train
images\000339.png,labels\000339.txt,train
images\000340.png,labels\000340.txt,val
images\000341.png,labels\000341.txt,train
images\000342.png,labels\000342.txt,train
images\000343.png,labels\000343.txt,train
images\000344.png,labels\000344.txt,train
images\000345.png,labels\000345.txt,train
images\000346.png,labels\000346.txt,train
images\000347.png,labels\000347.txt,train
images\000348.png,labels\000348.txt,train
images\000349.png,labels\000349.txt,train
images\000350.png,labels\000350.txt,train
images\000351.png,labels\000351.txt,train
images\000352.png,labels\000352.txt,train
images\000353.png,labels\000353.txt,val
images\000354.png,labels\000354.txt,train
images\000355.png,labels\000355.txt,val
images\000356.png,labels\000356.txt,train
images\000357.png,labels\000357.txt,train
images\000358.png,labels\000358.txt,train
images\000359.png,labels\000359.txt,train
images\000360.png,labels\000360.txt,train
images\000361.png,labels\000361.txt,train
images\000362.png,labels\000362.txt,train
images\000363.png,labels\000363.txt,train
images\000364.png,labels\000364.txt,train
images\000365.png,labels\000365.txt,train
images\000366.png,labels\000366.txt,train
images\000367.png,labels\000367.txt,train
images\000368.png,labels\000368.txt,val
images\000369.png,labels\000369.txt,train
images\000370.png,labels\000370.txt,val
images\000371.png,labels\000371.txt,train
images\000372.png,labels\000372.txt,train
images\000373.png,labels\000373.txt,train
images\000374.png,labels\000374.txt,train
images\000375.png,labels\000375.txt,train
images\000376.png,labels\000376.txt,val
images\000377.png,labels\000377.txt,val
images\000378.png,labels\000378.txt,train
images\000379.png,labels\000379.txt,train
images\000380.png,labels\000380.txt,train
images\000381.png,labels\000381.txt,train
images\000382.png,labels\000382.txt,train
images\000383.png,labels\000383.txt,train
images\000384.png,labels\000384.txt,train
images\000385.png,labels\000385.txt,train
images\000386.png,labels\000386.txt,train
images\000387.png,labels\000387.txt,train
images\000388.png,labels\000388.txt,train
images\000389.png,labels\000389.txt,train
images\000390.png,labels\000390.txt,train
images\000391.png,labels\000391.txt,train
images\000392.png,labels\000392.txt,train
images\000393.png,labels\000393.txt,train
images\000394.png,labels\000394.txt,train
images\000395.png,labels\000395.txt,train
images\000396.png,labels\000396.txt,train
images\000397.png,labels\000397.txt,val
images\000398.png,labels\000398.txt,train
images\000399.png,labels\000399.txt,val
images\000400.png,labels\000400.txt,train
images\000401.png,labels\000401.txt,train
images\000402.png,labels\000402.txt,train
images\000403.png,labels\000403.txt,train
images\000404.png,labels\000404.txt,train
images\000405.png,labels\000405.txt,train
images\000406.png,labels\000406.txt,train
images\000407.png,labels\000407.txt,train
images\000408.png,labels\000408.txt,val
images\000409.png,labels\000409.txt,train
images\000410.png,labels\000410.txt,train
images\000411.png,labels\000411.txt,train
images\000412.png,labels\000412.txt,train
images\000413.png,labels\000413.txt,train
images\000414.png,labels\000414.txt,train
images\000415.png,labels\000415.txt,train
images\000416.png,labels\000416.txt,train
images\000417.png,labels\000417.txt,val
images\000418.png,labels\000418.txt,val
images\000419.png,labels\000419.txt,train
images\000420.png,labels\000420.txt,train
images\000421.png,labels\000421.txt,train
images\000422.png,labels\000422.txt,train
images\000423.png,labels\000423.txt,train
images\000424.png,labels\000424.txt,train
images\000425.png,labels\000425.txt,val
images\000426.png,labels\000426.txt,train
images\000427.png,labels\000427.txt,train
images\000428.png,labels\000428.txt,train
images\000429.png,labels\000429.txt,train
images\000430.png,labels\000430.txt,train
images\000431.png,labels\000431.txt,val
images\000432.png,labels\000432.txt,train
images\000433.png,labels\000433.txt,val
images\000434.png,labels\000434.txt,train
images\000435.png,labels\000435.txt,train
images\000436.png,labels\000436.txt,train
images\000437.png,labels\000437.txt,train
images\000438.png,labels\000438.txt,train
images\000439.png,labels\000439.txt,train
images\000440.png,labels\000440.txt,val
images\000441.png,labels\000441.txt,val
images\000442.png,labels\000442.txt,train
images\000443.png,labels\000443.txt,train
images\000444.png,labels\000444.txt,train
images\000445.png,labels\000445.txt,train
images\000446.png,labels\000446.txt,train
images\000447.png,labels\000447.txt,train
images\000448.png,labels\000448.txt,val
images\000449.png,labels\000449.txt,val
images\000450.png,labels\000450.txt,train
images\000451.png,labels\000451.txt,val
images\000452.png,labels\000452.txt,train
images\000453.png,labels\000453.txt,train
images\000454.png,labels\000454.txt,train
images\000455.png,labels\000455.txt,train
images\000456.png,labels\000456.txt,train
images\000457.png,labels\000457.txt,val
images\000458.png,labels\000458.txt,train
images\000459.png,labels\000459.txt,train
images\000460.png,labels\000460.txt,train
images\000461.png,labels\000461.txt,train
images\000462.png,labels\000462.txt,train
images\000463.png,labels\000463.txt,train
images\000464.png,labels\000464.txt,val
images\000465.png,labels\000465.txt,train
images\000466.png,labels\000466.txt,train
images\000467.png,labels\000467.txt,val
images\000468.png,labels\000468.txt,val
images\000469.png,labels\000469.txt,val
images\000470.png,labels\000470.txt,train
images\000471.png,labels\000471.txt,train
images\000472.png,labels\000472.txt,train
images\000473.png,labels\000473.txt,train
images\000474.png,labels\000474.txt,val
images\000475.png,labels\000475.txt,val
images\000476.png,labels\000476.txt,train
images\000477.png,labels\000477.txt,val
images\000478.png,labels\000478.txt,train
images\000479.png,labels\000479.txt,train
images\000480.png,labels\000480.txt,val
images\000481.png,labels\000481.txt,train
images\000482.png,labels\000482.txt,val
images\000483.png,labels\000483.txt,train
images\000484.png,labels\000484.txt,val
images\000485.png,labels\000485.txt,train
images\000486.png,labels\000486.txt,train
images\000487.png,labels\000487.txt,train
images\000488.png,labels\000488.txt,train
images\000489.png,labels\000489.txt,train
images\000490.png,labels\000490.txt,train
images\000491.png,labels\000491.txt,train
images\000492.png,labels\000492.txt,train
images\000493.png,labels\000493.txt,train
images\000494.png,labels\000494.txt,train
images\000495.png,labels\000495.txt,train
images\000496.png,labels\000496.txt,train
images\000497.png,labels\000497.txt,train
images\000498.png,labels\000498.txt,train
images\000499.png,labels\000499.txt,train
images\000500.png,labels\000500.txt,val
images\000501.png,labels\000501.txt,train
images\000502.png,labels\000502.txt,train
images\000503.png,labels\000503.txt,train
images\000504.png,labels\000504.txt,val
images\000505.png,labels\000505.txt,val
images\000506.png,labels\000506.txt,train
images\000507.png,labels\000507.txt,train
images\000508.png,labels\000508.txt,train
images\000509.png,labels\000509.txt,val
images\000510.png,labels\000510.txt,train
images\000511.png,labels\000511.txt,train
images\000512.png,labels\000512.txt,train
images\000513.png,labels\000513.txt,train
images\000514.png,labels\000514.txt,train
images\000515.png,labels\000515.txt,train
images\000516.png,labels\000516.txt,train
images\000517.png,labels\000517.txt,train
images\000518.png,labels\000518.txt,train
images\000519.png,labels\000519.txt,train
images\000520.png,labels\000520.txt,train
images\000521.png,labels\000521.txt,val
images\000522.png,labels\000522.txt,train
images\000523.png,labels\000523.txt,train
images\000524.png,labels\000524.txt,train
images\000525.png,labels\000525.txt,val
images\000526.png,labels\000526.txt,train
images\000527.png,labels\000527.txt,train
images\000528.png,labels\000528.txt,train
images\000529.png,labels\000529.txt,val
images\000530.png,labels\000530.txt,train
images\000531.png,labels\000531.txt,train
images\000532.png,labels\000532.txt,train
images\000533.png,labels\000533.txt,train
images\000534.png,labels\000534.txt,train
images\000535.png,labels\000535.txt,train
images\000536.png,labels\000536.txt,train
images\000537.png,labels\000537.txt,train
images\000538.png,labels\000538.txt,train
images\000539.png,labels\000539.txt,train
images\000540.png,labels\000540.txt,train
images\000541.png,labels\000541.txt,train
images\000542.png,labels\000542.txt,train
images\000543.png,labels\000543.txt,train
images\000544.png,labels\000544.txt,train
images\000545.png,labels\000545.txt,val
images\000546.png,labels\000546.txt,train
images\000547.png,labels\000547.txt,train
images\000548.png,labels\000548.txt,val
images\000549.png,labels\000549.txt,train
images\000550.png,labels\000550.txt,train
images\000551.png,labels\000551.txt,train
images\000552.png,labels\000552.txt,train
images\000553.png,labels\000553.txt,train
images\000554.png,labels\000554.txt,train
images\000555.png,labels\000555.txt,val
images\000556.png,labels\000556.txt,train
images\000557.png,labels\000557.txt,train
images\000558.png,labels\000558.txt,train
images\000559.png,labels\000559.txt,train
images\000560.png,labels\000560.txt,train
images\000561.png,labels\000561.txt,train
images\000562.png,labels\000562.txt,train
images\000563.png,labels\000563.txt,val
images\000564.png,labels\000564.txt,val
images\000565.png,labels\000565.txt,val
images\000566.png,labels\000566.txt,train
images\000567.png,labels\000567.txt,train
images\000568.png,labels\000568.txt,train
images\000569.png,labels\000569.txt,train
images\000570.png,labels\000570.txt,train
images\000571.png,labels\000571.txt,train
images\000572.png,labels\000572.txt,val
images\000573.png,labels\000573.txt,train
images\000574.png,labels\000574.txt,train
images\000575.png,labels\000575.txt,train
images\000576.png,labels\000576.txt,train
images\000577.png,labels\000577.txt,train
images\000578.png,labels\000578.txt,val
images\000579.png,labels\000579.txt,train
images\000580.png,labels\000580.txt,train
images\000581.png,labels\000581.txt,val
images\000582.png,labels\000582.txt,train
images\000583.png,labels\000583.txt,train
images\000584.png,labels\000584.txt,val
images\000585.png,labels\000585.txt,train
images\000586.png,labels\000586.txt,val
images\000587.png,labels\000587.txt,train
images\000588.png,labels\000588.txt,train
images\000589.png,labels\000589.txt,train
images\000590.png,labels\000590.txt,train
images\000591.png,labels\000591.txt,train
images\000592.png,labels\000592.txt,train
images\000593.png,labels\000593.txt,train
images\000594.png,labels\000594.txt,train
images\000595.png,labels\000595.txt,train
images\000596.png,labels\000596.txt,train
images\000597.png,labels\000597.txt,val
images\000598.png,labels\000598.txt,val
images\000599.png,labels\000599.txt,val
images\000600.png,labels\000600.txt,train
images\000601.png,labels\000601.txt,train
images\000602.png,labels\000602.txt,train
images\000603.png,labels\000603.txt,train
images\000604.png,labels\000604.txt,train
images\000605.png,labels\000605.txt,train
images\000606.png,labels\000606.txt,val
images\000607.png,labels\000607.txt,train
images\000608.png,labels\000608.txt,train
images\000609.png,labels\000609.txt,train
images\000610.png,labels\000610.txt,train
images\000611.png,labels\000611.txt,train
images\000612.png,labels\000612.txt,train
images\000613.png,labels\000613.txt,train
images\000614.png,labels\000614.txt,val
images\000615.png,labels\000615.txt,train
images\000616.png,labels\000616.txt,train
images\000617.png,labels\000617.txt,val
images\000618.png,labels\000618.txt,train
images\000619.png,labels\000619.txt,train
images\000620.png,labels\000620.txt,train
images\000621.png,labels\000621.txt,val
images\000622.png,labels\000622.txt,val
images\000623.png,labels\000623.txt,val
images\000624.png,labels\000624.txt,val
images\000625.png,labels\000625.txt,train
images\000626.png,labels\000626.txt,train
images\000627.png,labels\000627.txt,train
images\000628.png,labels\000628.txt,val
images\000629.png,labels\000629.txt,train
images\000630.png,labels\000630.txt,train
images\000631.png,labels\000631.txt,val
images\000632.png,labels\000632.txt,train
images\000633.png,labels\000633.txt,train
images\000634.png,labels\000634.txt,train
images\000635.png,labels\000635.txt,train
images\000636.png,labels\000636.txt,train
images\000637.png,labels\000637.txt,train
images\000638.png,labels\000638.txt,train
images\000639.png,labels\000639.txt,train
images\000640.png,labels\000640.txt,train
images\000641.png,labels\000641.txt,train
images\000642.png,labels\000642.txt,train
images\000643.png,labels\000643.txt,train
images\000644.png,labels\000644.txt,train
images\000645.png,labels\000645.txt,train
images\000646.png,labels\000646.txt,train
images\000647.png,labels\000647.txt,train
images\000648.png,labels\000648.txt,train
images\000649.png,labels\000649.txt,train
images\000650.png,labels\000650.txt,train
images\000651.png,labels\000651.txt,train
images\000652.png,labels\000652.txt,val
images\000653.png,labels\000653.txt,train
images\000654.png,labels\000654.txt,train
images\000655.png,labels\000655.txt,train
images\000656.png,labels\000656.txt,train
images\000657.png,labels\000657.txt,train
images\000658.png,labels\000658.txt,train
images\000659.png,labels\000659.txt,train
images\000660.png,labels\000660.txt,train
images\000661.png,labels\000661.txt,val
images\000662.png,labels\000662.txt,train
images\000663.png,labels\000663.txt,train
images\000664.png,labels\000664.txt,train
images\000665.png,labels\000665.txt,train
images\000666.png,labels\000666.txt,val
images\000667.png,labels\000667.txt,val
images\000668.png,labels\000668.txt,train
images\000669.png,labels\000669.txt,train
images\000670.png,labels\000670.txt,train
images\000671.png,labels\000671.txt,train
images\000672.png,labels\000672.txt,val
images\000673.png,labels\000673.txt,train
images\000674.png,labels\000674.txt,train
images\000675.png,labels\000675.txt,train
images\000676.png,labels\000676.txt,train
images\000677.png,labels\000677.txt,val
images\000678.png,labels\000678.txt,train
images\000679.png,labels\000679.txt,train
images\000680.png,labels\000680.txt,train
images\000681.png,labels\000681.txt,train
images\000682.png,labels\000682.txt,train
images\000683.png,labels\000683.txt,train
images\000684.png,labels\000684.txt,train
images\000685.png,labels\000685.txt,train
images\000686.png,labels\000686.txt,train
images\000687.png,labels\000687.txt,train
images\000688.png,labels\000688.txt,train
images\000689.png,labels\000689.txt,train
images\000690.png,labels\000690.txt,train
images\000691.png,labels\000691.txt,train
images\000692.png,labels\000692.txt,train
images\000693.png,labels\000693.txt,train
images\000694.png,labels\000694.txt,val
images\000695.png,labels\000695.txt,train
images\000696.png,labels\000696.txt,train
images\000697.png,labels\000697.txt,train
images\000698.png,labels\000698.txt,train
images\000699.png,labels\000699.txt,train
images\000700.png,labels\000700.txt,train
images\000701.png,labels\000701.txt,train
images\000702.png,labels\000702.txt,val
images\000703.png,labels\000703.txt,val
images\000704.png,labels\000704.txt,val
images\000705.png,labels\000705.txt,train
images\000706.png,labels\000706.txt,train
images\000707.png,labels\000707.txt,train
images\000708.png,labels\000708.txt,train
images\000709.png,labels\000709.txt,train
images\000710.png,labels\000710.txt,train
images\000711.png,labels\000711.txt,val
images\000712.png,labels\000712.txt,val
images\000713.png,labels\000713.txt,val
images\000714.png,labels\000714.txt,train
images\000715.png,labels\000715.txt,train
images\000716.png,labels\000716.txt,train
images\000717.png,labels\000717.txt,val
images\000718.png,labels\000718.txt,train
images\000719.png,labels\000719.txt,train
images\000720.png,labels\000720.txt,train
images\000721.png,labels\000721.txt,train
images\000722.png,labels\000722.txt,train
images\000723.png,labels\000723.txt,train
images\000724.png,labels\000724.txt,train
images\000725.png,labels\000725.txt,train
images\000726.png,labels\000726.txt,train
images\000727.png,labels\000727.txt,train
images\000728.png,labels\000728.txt,train
images\000729.png,labels\000729.txt,val
images\000730.png,labels\000730.txt,train
images\000731.png,labels\000731.txt,train
images\000732.png,labels\000732.txt,train
images\000733.png,labels\000733.txt,train
images\000734.png,labels\000734.txt,train
images\000735.png,labels\000735.txt,train
images\000736.png,labels\000736.txt,train
images\000737.png,labels\000737.txt,train
images\000738.png,labels\000738.txt,train
images\000739.png,labels\000739.txt,train
images\000740.png,labels\000740.txt,train
images\000741.png,labels\000741.txt,val
images\000742.png,labels\000742.txt,train
images\000743.png,labels\000743.txt,train
images\000744.png,labels\000744.txt,train
images\000745.png,labels\000745.txt,train
images\000746.png,labels\000746.txt,val
images\000747.png,labels\000747.txt,train
images\000748.png,labels\000748.txt,train
images\000749.png,labels\000749.txt,train
images\000750.png,labels\000750.txt,train
images\000751.png,labels\000751.txt,val
images\000752.png,labels\000752.txt,train
images\000753.png,labels\000753.txt,train
images\000754.png,labels\000754.txt,train
images\000755.png,labels\000755.txt,val
images\000756.png,labels\000756.txt,val
images\000757.png,labels\000757.txt,val
images\000758.png,labels\000758.txt,val
images\000759.png,labels\000759.txt,train
images\000760.png,labels\000760.txt,train
images\000761.png,labels\000761.txt,val
images\000762.png,labels\000762.txt,val
images\000763.png,labels\000763.txt,train
images\000764.png,labels\000764.txt,train
images\000765.png,labels\000765.txt,train
images\000766.png,labels\000766.txt,train
images\000767.png,labels\000767.txt,train
images\000768.png,labels\000768.txt,train
images\000769.png,labels\000769.txt,train
images\000770.png,labels\000770.txt,train
images\000771.png,labels\000771.txt,train
images\000772.png,labels\000772.txt,train
images\000773.png,labels\000773.txt,train
images\000774.png,labels\000774.txt,train
images\000775.png,labels\000775.txt,val
images\000776.png,labels\000776.txt,train
